Job Title,Company Name,Application Weblink,Location
Plumber,Cushman & Wakefield,,"Wellington, New Zealand"
Qualified / experienced plumberwanted,Super Tradie,,"Tasman, New Zealand"
Plumber,ProTurn Plumbing and Gas,,"Whakatāne, New Zealand"
Plumber / assistant,Hanlon Plumbing & Pipe Services Ltd,,"Otago Region, New Zealand"
Experienced plumber/gasfitter,Pivotal Gas & Plumbing Ltd,,"Auckland, New Zealand"
Plumber/Foreman,Aquaheat,,"Wellington, New Zealand"
Multi Plumber,Cardo (Wales & West),,"Christchurch, New Zealand"
Tradesman Plumber - New housing,STS Group,,"Tauranga, New Zealand"
Maintenance Plumber,Peter Diver Plumbing & Drainage,,"Christchurch, New Zealand"
"Plumber, Gasfitter, Drainalyer",Jarvis Plumbing + Gasworks,,"Wellington, New Zealand"
